ID	TranscriptomeName
F6X01_RS00260	MFS transporter
F6X01_RS00265	formate--tetrahydrofolate ligase
F6X01_RS00270	hypothetical protein
F6X01_RS00275	hypothetical protein
F6X01_RS00280	hypothetical protein
F6X01_RS00285	FtsX-like permease family protein
F6X01_RS00290	ABC transporter ATP-binding protein
F6X01_RS00300	response regulator transcription factor
F6X01_RS00315	carbohydrate ABC transporter permease
F6X01_RS00320	sugar ABC transporter permease
F6X01_RS00325	extracellular solute-binding protein
F6X01_RS00340	DeoR/GlpR family DNA-binding transcription regulator
F6X01_RS00345	6-phospho-beta-glucosidase
F6X01_RS00350	alpha-mannosidase
F6X01_RS00355	alkaline phosphatase family protein
F6X01_RS00360	HAD family phosphatase
F6X01_RS00365	glycoside hydrolase family 125 protein
F6X01_RS00370	beta-N-acetylhexosaminidase
F6X01_RS00375	carbohydrate kinase family protein
F6X01_RS00380	sensor histidine kinase
F6X01_RS00385	UDP-glucose 4-epimerase GalE
F6X01_RS00390	TetR/AcrR family transcriptional regulator
F6X01_RS00395	MMPL family transporter
F6X01_RS00400	YhgE/Pip family protein
F6X01_RS00405	FtsX-like permease family protein
F6X01_RS00410	ABC transporter ATP-binding protein
F6X01_RS00415	class I SAM-dependent methyltransferase
F6X01_RS00420	ABC transporter substrate-binding protein
F6X01_RS00425	iron ABC transporter permease
F6X01_RS00430	ABC transporter ATP-binding protein
F6X01_RS00435	NAD-dependent succinate-semialdehyde dehydrogenase
F6X01_RS00440	chloride channel protein
F6X01_RS00445	glycogen/starch/alpha-glucan phosphorylase
F6X01_RS00450	hypothetical protein
F6X01_RS00455	membrane protein
F6X01_RS00460	1,3-beta-galactosyl-N-acetylhexosamine phosphorylase
F6X01_RS00465	ROK family transcriptional regulator
F6X01_RS00470	carbohydrate ABC transporter substrate-binding protein
F6X01_RS00475	sugar ABC transporter permease
F6X01_RS00480	carbohydrate ABC transporter permease
F6X01_RS00485	substrate-binding domain-containing protein
F6X01_RS00495	hypothetical protein
F6X01_RS00500	6-phosphofructokinase
F6X01_RS00505	ArsR family transcriptional regulator
F6X01_RS00510	multicopper oxidase domain-containing protein
F6X01_RS00515	hypothetical protein
F6X01_RS00525	aspartate ammonia-lyase
F6X01_RS00530	anaerobic C4-dicarboxylate transporter
F6X01_RS00535	N-acetyltransferase
F6X01_RS00540	catalase
F6X01_RS00545	ABC transporter ATP-binding protein/permease
F6X01_RS00550	ABC transporter ATP-binding protein/permease
F6X01_RS00555	ATP-binding protein
F6X01_RS00560	magnesium chelatase subunit D family protein
F6X01_RS00565	cobaltochelatase subunit CobN
F6X01_RS00570	radical SAM protein
F6X01_RS00575	ABC transporter ATP-binding protein
F6X01_RS00580	iron ABC transporter permease
F6X01_RS00585	ABC transporter substrate-binding protein
F6X01_RS00590	ABC transporter substrate-binding protein
F6X01_RS00600	hypothetical protein
F6X01_RS00605	oleate hydratase
F6X01_RS00610	bifunctional hydroxymethylpyrimidine kinase/phosphomethylpyrimidine kinase
F6X01_RS00620	hypothetical protein
F6X01_RS00625	thiamine phosphate synthase
F6X01_RS00630	DUF559 domain-containing protein
F6X01_RS00635	hypothetical protein
F6X01_RS00640	potassium-transporting ATPase subunit F
F6X01_RS00645	potassium-transporting ATPase subunit KdpA
F6X01_RS00650	potassium-transporting ATPase subunit KdpB
F6X01_RS00655	potassium-transporting ATPase subunit KdpC
F6X01_RS00660	DUF4118 domain-containing protein
F6X01_RS00665	response regulator transcription factor
F6X01_RS00670	EXLDI protein
F6X01_RS00680	tRNA-Ala
F6X01_RS00685	insulinase family protein
F6X01_RS00700	DUF5318 family protein
F6X01_RS00705	penicillin-binding protein
F6X01_RS00710	DUF2029 domain-containing protein
F6X01_RS00715	membrane protein
F6X01_RS00720	O-antigen ligase family protein
F6X01_RS00725	glycosyltransferase
F6X01_RS00730	glycosyltransferase
F6X01_RS00735	O-antigen ligase family protein
F6X01_RS00740	chain-length determining protein
F6X01_RS00745	acetyltransferase
F6X01_RS00750	DegT/DnrJ/EryC1/StrS family aminotransferase
F6X01_RS00755	Gfo/Idh/MocA family oxidoreductase
F6X01_RS00760	O-antigen ligase family protein
F6X01_RS00765	oligopeptide:H+ symporter
F6X01_RS00770	FAD-dependent oxidoreductase
F6X01_RS00775	SDR family oxidoreductase
F6X01_RS00780	HPr family phosphocarrier protein
F6X01_RS00785	fructose-specific PTS transporter subunit EIIC
F6X01_RS00790	1-phosphofructokinase family hexose kinase
F6X01_RS00795	hypothetical protein
F6X01_RS00800	DeoR/GlpR family DNA-binding transcription regulator
F6X01_RS00805	nucleotide sugar dehydrogenase
F6X01_RS00810	O-antigen ligase family protein
F6X01_RS00815	glycosyltransferase
F6X01_RS00820	UDP-N-acetylglucosamine 2-epimerase (non-hydrolyzing)
F6X01_RS00825	glycosyltransferase
F6X01_RS00830	hypothetical protein
F6X01_RS00835	hypothetical protein
F6X01_RS00840	hypothetical protein
F6X01_RS00845	NAD(P)/FAD-dependent oxidoreductase
F6X01_RS00850	NUDIX hydrolase
F6X01_RS00855	ATP-dependent helicase HrpB
F6X01_RS00860	ECF transporter S component
F6X01_RS00865	ATP-binding cassette domain-containing protein
F6X01_RS00870	glycosyltransferase family 4 protein
F6X01_RS00875	DoxX family membrane protein
F6X01_RS00880	hypothetical protein
F6X01_RS00885	dihydroorotate dehydrogenase-like protein
F6X01_RS00890	pyruvate:ferredoxin (flavodoxin) oxidoreductase
F6X01_RS00895	NAD(P)-binding protein
F6X01_RS00900	thiamine-binding protein
F6X01_RS00905	FCD domain-containing protein
F6X01_RS00910	L-lactate permease
F6X01_RS00915	(Fe-S)-binding protein
F6X01_RS00920	LutB/LldF family L-lactate oxidation iron-sulfur protein
F6X01_RS00925	lactate utilization protein C
F6X01_RS00930	ATP-binding cassette domain-containing protein
F6X01_RS00935	hypothetical protein
F6X01_RS00940	hypothetical protein
F6X01_RS00945	thiol reductant ABC exporter subunit CydC
F6X01_RS00950	thiol reductant ABC exporter subunit CydD
F6X01_RS00955	cytochrome d ubiquinol oxidase subunit II
F6X01_RS00960	cytochrome ubiquinol oxidase subunit I
F6X01_RS00965	APC family permease
F6X01_RS00970	ABC transporter ATP-binding protein/permease
F6X01_RS00980	ABC transporter ATP-binding protein/permease
F6X01_RS00990	XRE family transcriptional regulator
F6X01_RS01000	lysine--tRNA ligase
F6X01_RS01005	cell division protein CrgA
F6X01_RS01010	DUF881 domain-containing protein
F6X01_RS01015	Stk1 family PASTA domain-containing Ser/Thr kinase
F6X01_RS01020	cell division protein FtsI
F6X01_RS01025	FtsW/RodA/SpoVE family cell cycle protein
F6X01_RS01030	protein phosphatase 2C domain-containing protein
F6X01_RS01035	FHA domain-containing protein
F6X01_RS01040	DUF3662 domain-containing protein
F6X01_RS01045	hypothetical protein
F6X01_RS01050	phosphotransferase
F6X01_RS01060	hypothetical protein
F6X01_RS01065	hypothetical protein
F6X01_RS01070	type IV secretion protein Rhs
F6X01_RS01075	RHS repeat protein
F6X01_RS01080	hypothetical protein
F6X01_RS01085	hypothetical protein
F6X01_RS01095	hypothetical protein
F6X01_RS01115	hypothetical protein
F6X01_RS01130	hypothetical protein
F6X01_RS01135	RHS repeat protein
F6X01_RS01140	RHS repeat protein
F6X01_RS01150	hypothetical protein
F6X01_RS01155	tRNA-Ser
F6X01_RS01160	RNA-binding S4 domain-containing protein
F6X01_RS01165	signal recognition particle sRNA small type
F6X01_RS01170	hypothetical protein
F6X01_RS01175	DNA polymerase III subunit gamma and tau
F6X01_RS01180	YbaB/EbfC family nucleoid-associated protein
F6X01_RS01185	recombination mediator RecR
F6X01_RS01190	PadR family transcriptional regulator
F6X01_RS01195	ABC transporter ATP-binding protein
F6X01_RS01200	ABC transporter permease
F6X01_RS01205	threonine/serine exporter family protein
F6X01_RS01210	Cof-type HAD-IIB family hydrolase
F6X01_RS01215	Cof-type HAD-IIB family hydrolase
F6X01_RS01235	hypothetical protein
F6X01_RS01240	hypothetical protein
F6X01_RS01245	isoleucine--tRNA ligase
F6X01_RS01250	L-serine ammonia-lyase, iron-sulfur-dependent, subunit alpha
F6X01_RS01255	amino acid permease
F6X01_RS01260	hypothetical protein
F6X01_RS01265	Gfo/Idh/MocA family oxidoreductase
F6X01_RS01270	WhiB family transcriptional regulator
F6X01_RS01275	DUF4177 domain-containing protein
F6X01_RS01280	RidA family protein
F6X01_RS01285	Crp/Fnr family transcriptional regulator
F6X01_RS01290	endonuclease III
F6X01_RS01295	TlpA family protein disulfide reductase
F6X01_RS01300	CoA pyrophosphatase
F6X01_RS01305	phage holin family protein
F6X01_RS01310	Na+/H+ antiporter NhaA
F6X01_RS01315	class I SAM-dependent methyltransferase
F6X01_RS01320	CpaE-like family protein
F6X01_RS01325	TadA family conjugal transfer-associated ATPase
F6X01_RS01330	hypothetical protein
F6X01_RS01340	type II secretion system F family protein
F6X01_RS01345	DUF4244 domain-containing protein
F6X01_RS01350	hypothetical protein
F6X01_RS01355	flp pilus-assembly TadE/G-like family protein
F6X01_RS01360	hypothetical protein
F6X01_RS01365	DEAD/DEAH box helicase
F6X01_RS01370	methyltransferase
F6X01_RS01375	DUF2249 domain-containing protein
F6X01_RS01380	type I DNA topoisomerase
F6X01_RS01385	hypothetical protein
F6X01_RS01390	dTMP kinase
F6X01_RS01395	DNA polymerase III subunit delta
F6X01_RS01400	DoxX family protein
F6X01_RS01405	hypothetical protein
F6X01_RS01410	alpha/beta hydrolase
F6X01_RS01415	hypothetical protein
F6X01_RS01420	DUF885 domain-containing protein
F6X01_RS01425	tRNA-Thr
F6X01_RS01430	FAD-dependent oxidoreductase
F6X01_RS01435	hypothetical protein
F6X01_RS01440	histidine phosphatase family protein
F6X01_RS01445	acetylxylan esterase
F6X01_RS01450	hypothetical protein
F6X01_RS01455	inorganic diphosphatase
F6X01_RS01460	D-alanyl-D-alanine carboxypeptidase/D-alanyl-D-alanine-endopeptidase
F6X01_RS01465	tRNA lysidine(34) synthetase TilS
F6X01_RS01470	hypoxanthine phosphoribosyltransferase
F6X01_RS01475	ATP-dependent zinc metalloprotease FtsH
F6X01_RS01480	GTP cyclohydrolase I FolE
F6X01_RS01485	hypothetical protein
F6X01_RS01490	OmpA family protein
F6X01_RS01495	hypothetical protein
F6X01_RS01500	hypothetical protein
F6X01_RS01505	hypothetical protein
F6X01_RS01510	hypothetical protein
F6X01_RS01515	hypothetical protein
F6X01_RS01520	dihydropteroate synthase
F6X01_RS01525	dihydroneopterin aldolase
F6X01_RS01530	2-amino-4-hydroxy-6-hydroxymethyldihydropteridine diphosphokinase
F6X01_RS01535	DUF3180 domain-containing protein
F6X01_RS01540	hypothetical protein
F6X01_RS01545	NADH-quinone oxidoreductase subunit D
F6X01_RS01550	Lsr2 family protein
F6X01_RS01560	ATP-dependent Clp protease ATP-binding subunit
F6X01_RS01565	DUF2891 domain-containing protein
F6X01_RS01570	DUF979 domain-containing protein
F6X01_RS01575	DUF969 domain-containing protein
F6X01_RS01580	LamB/YcsF family protein
F6X01_RS01585	allophanate hydrolase subunit 1
F6X01_RS01590	biotin-dependent carboxyltransferase family protein
F6X01_RS01595	DHA2 family efflux MFS transporter permease subunit
F6X01_RS01600	TIGR01777 family oxidoreductase
F6X01_RS01605	rhomboid family intramembrane serine protease
F6X01_RS01610	hypothetical protein
F6X01_RS01615	response regulator transcription factor
F6X01_RS01620	histidine kinase
F6X01_RS01625	FxLYD domain-containing protein
F6X01_RS01630	PRD domain-containing protein
F6X01_RS01635	PTS glucose transporter subunit IIA
F6X01_RS01640	PTS transporter subunit EIIC
F6X01_RS01645	N-acetylmannosamine-6-phosphate 2-epimerase
F6X01_RS01650	hypothetical protein
F6X01_RS01660	A/G-specific adenine glycosylase
F6X01_RS01665	glutamate-1-semialdehyde 2,1-aminomutase
F6X01_RS01670	porphobilinogen synthase
F6X01_RS01675	uroporphyrinogen-III synthase
F6X01_RS01680	hydroxymethylbilane synthase
F6X01_RS01685	FAD-dependent oxidoreductase
F6X01_RS01690	uroporphyrinogen decarboxylase
F6X01_RS01695	hypothetical protein
F6X01_RS01700	ferrochelatase
F6X01_RS01710	hypothetical protein
F6X01_RS01715	DNA integrity scanning diadenylate cyclase DisA
F6X01_RS01720	DNA repair protein RadA
F6X01_RS01725	NAD-dependent malic enzyme
F6X01_RS01730	VOC family protein
F6X01_RS01735	sugar phosphate isomerase/epimerase
F6X01_RS01740	proline dehydrogenase family protein
F6X01_RS01745	CPBP family intramembrane metalloprotease
F6X01_RS01750	aspartate-semialdehyde dehydrogenase
F6X01_RS01755	pyrroline-5-carboxylate reductase
F6X01_RS01760	AURKAIP1/COX24 domain-containing protein
F6X01_RS01765	glutaredoxin family protein
F6X01_RS01770	uroporphyrinogen-III synthase
F6X01_RS01775	histidine phosphatase family protein
F6X01_RS01780	TlpA family protein disulfide reductase
F6X01_RS01785	cytochrome C biogenesis protein CcdA
F6X01_RS01790	cytochrome c biogenesis protein ResB
F6X01_RS01795	c-type cytochrome biogenesis protein CcsB
F6X01_RS01800	GerMN domain-containing protein
F6X01_RS01805	SDR family oxidoreductase
F6X01_RS01810	hypothetical protein
F6X01_RS01820	DUF5134 domain-containing protein
F6X01_RS01825	mycothione reductase
F6X01_RS01830	ABC transporter substrate-binding protein
F6X01_RS01835	hypothetical protein
F6X01_RS01840	ABC transporter ATP-binding protein
F6X01_RS01845	iron ABC transporter permease
F6X01_RS01850	siderophore-interacting protein
F6X01_RS01855	phosphate ABC transporter ATP-binding protein PstB
F6X01_RS01860	phosphate ABC transporter permease PstA
F6X01_RS01865	phosphate ABC transporter permease subunit PstC
F6X01_RS01870	phosphate ABC transporter substrate-binding protein PstS
F6X01_RS01880	NUDIX hydrolase
F6X01_RS01885	RNA degradosome polyphosphate kinase
F6X01_RS01890	response regulator transcription factor
F6X01_RS01895	hypothetical protein
F6X01_RS01900	D-aminoacyl-tRNA deacylase
F6X01_RS01905	FABP family protein
F6X01_RS01910	folate-binding protein YgfZ
F6X01_RS01915	sugar transferase
F6X01_RS01920	SDR family oxidoreductase
F6X01_RS01925	phosphoenolpyruvate--protein phosphotransferase
F6X01_RS01930	HPr family phosphocarrier protein
F6X01_RS01935	2-C-methyl-D-erythritol 4-phosphate cytidylyltransferase
F6X01_RS01940	2-C-methyl-D-erythritol 2,4-cyclodiphosphate synthase
F6X01_RS01945	PTS glucitol/sorbitol transporter subunit IIA
F6X01_RS01950	PTS sugar transporter subunit IIB
F6X01_RS01955	CarD family transcriptional regulator
F6X01_RS01960	hypothetical protein
F6X01_RS01965	response regulator transcription factor
F6X01_RS01970	ATP-binding protein
F6X01_RS01975	phosphate signaling complex protein PhoU
F6X01_RS01980	hypothetical protein
F6X01_RS01985	polysaccharide deacetylase
F6X01_RS01990	phosphoglyceromutase
F6X01_RS01995	PTS sugar transporter subunit IIA
F6X01_RS02000	PTS sugar transporter subunit IIB
F6X01_RS02005	asparaginase
F6X01_RS02010	amino acid permease
F6X01_RS02015	glycine hydroxymethyltransferase
F6X01_RS02020	sugar kinase
F6X01_RS02025	bifunctional 4-hydroxy-2-oxoglutarate aldolase/2-dehydro-3-deoxy-phosphogluconate aldolase
F6X01_RS02035	polysaccharide lyase 8 family protein
F6X01_RS02070	23S rRNA (guanosine(2251)-2'-O)-methyltransferase RlmB
F6X01_RS02075	cysteine--tRNA ligase
F6X01_RS02080	hypothetical protein
F6X01_RS02085	DUF4032 domain-containing protein
F6X01_RS02090	Asp23/Gls24 family envelope stress response protein
F6X01_RS02095	DUF2273 domain-containing protein
F6X01_RS02100	Asp23/Gls24 family envelope stress response protein
F6X01_RS02105	DUF6286 domain-containing protein
F6X01_RS02110	alkaline shock response membrane anchor protein AmaP
F6X01_RS02115	RNA polymerase sigma factor
F6X01_RS02120	hypothetical protein
F6X01_RS02125	hypothetical protein
F6X01_RS02130	sn-glycerol-3-phosphate ABC transporter ATP-binding protein UgpC
F6X01_RS02140	L-serine ammonia-lyase
F6X01_RS02145	hypothetical protein
F6X01_RS02150	ROK family protein
F6X01_RS02155	sugar ABC transporter substrate-binding protein
F6X01_RS02160	sugar ABC transporter permease
F6X01_RS02165	carbohydrate ABC transporter permease
F6X01_RS02170	L-threonine 3-dehydrogenase
F6X01_RS02175	glycine C-acetyltransferase
F6X01_RS02180	ABC transporter substrate-binding protein
F6X01_RS02185	ABC transporter permease subunit
F6X01_RS02190	ABC transporter permease subunit
F6X01_RS02195	ATP-binding cassette domain-containing protein
F6X01_RS02200	VTT domain-containing protein
F6X01_RS02205	DUF488 family protein
F6X01_RS02210	O-acetyl-ADP-ribose deacetylase
F6X01_RS02215	NADP-dependent oxidoreductase
F6X01_RS02220	ABC transporter ATP-binding protein
F6X01_RS02225	ABC transporter permease
F6X01_RS02230	histidine kinase
F6X01_RS02235	response regulator transcription factor
F6X01_RS02245	histidine phosphatase family protein
F6X01_RS02250	adenosylcobinamide-phosphate synthase CbiB
F6X01_RS02255	cobyric acid synthase
F6X01_RS02260	precorrin-2 C(20)-methyltransferase
F6X01_RS02265	precorrin-4 C(11)-methyltransferase
F6X01_RS02270	precorrin-3B C(17)-methyltransferase
F6X01_RS02275	cobalamin biosynthesis protein
F6X01_RS02280	hypothetical protein
F6X01_RS02290	iron ABC transporter permease
F6X01_RS02295	ABC transporter ATP-binding protein
F6X01_RS02300	ABC transporter substrate-binding protein
F6X01_RS02305	ATP-binding protein
F6X01_RS02310	precorrin-8X methylmutase
F6X01_RS02315	energy-coupling factor ABC transporter permease
F6X01_RS02320	energy-coupling factor ABC transporter substrate-binding protein
F6X01_RS02325	cobalt ECF transporter T component CbiQ
F6X01_RS02330	ATP-binding cassette domain-containing protein
F6X01_RS02335	DUF4118 domain-containing protein
F6X01_RS02340	precorrin-6Y C5,15-methyltransferase (decarboxylating) subunit CbiT
F6X01_RS02345	cob(I)yrinic acid a,c-diamide adenosyltransferase
F6X01_RS02350	cobyrinate a,c-diamide synthase
F6X01_RS02355	uroporphyrinogen-III C-methyltransferase
F6X01_RS02360	cobalt-precorrin-6A reductase
F6X01_RS02365	nicotinate-nucleotide--dimethylbenzimidazole phosphoribosyltransferase
F6X01_RS02370	adenosylcobinamide-GDP ribazoletransferase
F6X01_RS02375	helical backbone metal receptor
F6X01_RS02380	tRNA-Thr
F6X01_RS02385	hypothetical protein
F6X01_RS02390	hypothetical protein
F6X01_RS02400	hypothetical protein
F6X01_RS02405	PTS ascorbate transporter subunit IIC
F6X01_RS02410	PTS sugar transporter subunit IIA
F6X01_RS02425	hypothetical protein
F6X01_RS02430	S-ribosylhomocysteine lyase
F6X01_RS02435	mannose-6-phosphate isomerase, class I
F6X01_RS02440	DUF3263 domain-containing protein
F6X01_RS02450	chaperonin GroEL
F6X01_RS02455	transaldolase
F6X01_RS02460	GntR family transcriptional regulator
F6X01_RS02470	5-dehydro-2-deoxygluconokinase
F6X01_RS02475	deoxyribose-phosphate aldolase
F6X01_RS02480	5-deoxy-glucuronate isomerase
F6X01_RS02485	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione acylhydrolase (decyclizing)
F6X01_RS02490	hypothetical protein
F6X01_RS02495	CoA-acylating methylmalonate-semialdehyde dehydrogenase
F6X01_RS02500	LacI family transcriptional regulator
F6X01_RS02505	Gfo/Idh/MocA family oxidoreductase
F6X01_RS02510	sugar phosphate isomerase/epimerase
F6X01_RS02515	sugar phosphate isomerase/epimerase
F6X01_RS02520	Gfo/Idh/MocA family oxidoreductase
F6X01_RS02525	MFS transporter
F6X01_RS02530	hypothetical protein
F6X01_RS02535	hypothetical protein
F6X01_RS02540	sugar phosphate isomerase/epimerase
F6X01_RS02545	inositol 2-dehydrogenase
F6X01_RS02550	CPBP family intramembrane metalloprotease
F6X01_RS02555	copper homeostasis protein CutC
F6X01_RS02560	serine hydrolase
F6X01_RS02565	DEAD/DEAH box helicase
F6X01_RS02570	hypothetical protein
F6X01_RS02575	helicase-associated domain-containing protein
F6X01_RS02580	hypothetical protein
F6X01_RS02585	hypothetical protein
F6X01_RS02590	glucosamine-6-phosphate deaminase
F6X01_RS02595	cold shock domain-containing protein
F6X01_RS02600	DUF3027 domain-containing protein
F6X01_RS02605	DUF2530 domain-containing protein
F6X01_RS02610	NCS2 family permease
F6X01_RS02615	hypothetical protein
F6X01_RS02625	hypothetical protein
F6X01_RS02630	phosphoserine transaminase
F6X01_RS02635	N-acetylglucosamine-6-phosphate deacetylase
F6X01_RS02640	metal-dependent transcriptional regulator
F6X01_RS02645	hypothetical protein
F6X01_RS02650	thioredoxin
F6X01_RS02655	MFS transporter
F6X01_RS02660	tRNA-Arg
F6X01_RS02665	UTP--glucose-1-phosphate uridylyltransferase
F6X01_RS02670	hypothetical protein
F6X01_RS02675	large conductance mechanosensitive channel protein MscL
F6X01_RS02680	SAF domain-containing protein
F6X01_RS02685	FmdB family transcriptional regulator
F6X01_RS02690	5-formyltetrahydrofolate cyclo-ligase
F6X01_RS02695	molybdopterin biosynthesis protein
F6X01_RS02700	GNAT family N-acetyltransferase
F6X01_RS02705	hypothetical protein
F6X01_RS02710	tRNA-Ala
F6X01_RS02715	molecular chaperone TorD family protein
F6X01_RS02720	cyclic pyranopterin monophosphate synthase MoaC
F6X01_RS02725	molybdopterin molybdotransferase MoeA
F6X01_RS02730	molybdenum cofactor biosynthesis protein MoaE
F6X01_RS02735	MoaD/ThiS family protein
F6X01_RS02740	GTP 3',8-cyclase MoaA
F6X01_RS02745	helix-turn-helix domain-containing protein
F6X01_RS02750	molybdate ABC transporter substrate-binding protein
F6X01_RS02755	ABC transporter permease
F6X01_RS02760	MarR family transcriptional regulator
F6X01_RS02765	respiratory nitrate reductase subunit gamma
F6X01_RS02770	nitrate reductase molybdenum cofactor assembly chaperone
F6X01_RS02775	nitrate reductase subunit beta
F6X01_RS02780	nitrate reductase subunit alpha
F6X01_RS02785	NarK/NasA family nitrate transporter
F6X01_RS02795	molybdenum cofactor guanylyltransferase
F6X01_RS02800	MogA/MoaB family molybdenum cofactor biosynthesis protein
F6X01_RS02805	DUF6457 domain-containing protein
F6X01_RS02810	dimethyl sulfoxide reductase anchor subunit
F6X01_RS02815	dimethylsulfoxide reductase subunit B
F6X01_RS02820	molybdopterin-dependent oxidoreductase
F6X01_RS02825	HesA/MoeB/ThiF family protein
F6X01_RS02830	thiazole synthase
F6X01_RS02835	sulfur carrier protein ThiS
F6X01_RS02840	glycine oxidase ThiO
F6X01_RS02845	hypothetical protein
F6X01_RS02850	hypothetical protein
F6X01_RS02855	nitrate reductase
F6X01_RS02860	phospholipid carrier-dependent glycosyltransferase
F6X01_RS02865	16S rRNA (cytidine(1402)-2'-O)-methyltransferase
F6X01_RS02870	TatD family hydrolase
F6X01_RS02875	16S rRNA (adenine(1518)-N(6)/adenine(1519)-N(6))-dimethyltransferase RsmA
F6X01_RS02880	4-(cytidine 5'-diphospho)-2-C-methyl-D-erythritol kinase
F6X01_RS02885	MarR family transcriptional regulator
F6X01_RS02890	TetR/AcrR family transcriptional regulator
F6X01_RS02895	tRNA-Gln
F6X01_RS02900	bifunctional UDP-N-acetylglucosamine diphosphorylase/glucosamine-1-phosphate N-acetyltransferase GlmU
F6X01_RS02905	ribose-phosphate diphosphokinase
F6X01_RS02910	hypothetical protein
F6X01_RS02915	hypothetical protein
F6X01_RS02920	hypothetical protein
F6X01_RS02925	50S ribosomal protein L25/general stress protein Ctc
F6X01_RS02930	aminoacyl-tRNA hydrolase
F6X01_RS02945	hypothetical protein
F6X01_RS02955	zinc-dependent alcohol dehydrogenase family protein
F6X01_RS02960	PrsW family intramembrane metalloprotease
F6X01_RS02965	transcription-repair coupling factor
F6X01_RS02970	hypothetical protein
F6X01_RS02975	MazG family protein
F6X01_RS02980	hypothetical protein
F6X01_RS02985	phosphopyruvate hydratase
F6X01_RS02990	septum formation initiator family protein
F6X01_RS02995	DUF501 domain-containing protein
F6X01_RS03000	Ppx/GppA family phosphatase
F6X01_RS03005	tRNA-Leu
F6X01_RS03010	Bax inhibitor-1/YccA family protein
F6X01_RS03015	NUDIX hydrolase
F6X01_RS03020	hypothetical protein
F6X01_RS03025	16S ribosomal RNA
F6X01_RS03030	23S ribosomal RNA
F6X01_RS03035	5S ribosomal RNA
F6X01_RS03040	GNAT family N-acetyltransferase
F6X01_RS03045	GtrA family protein
F6X01_RS03050	oligopeptide transporter, OPT family
F6X01_RS03055	aldo/keto reductase
F6X01_RS03060	peptide-methionine (S)-S-oxide reductase MsrA
F6X01_RS03065	sodium-dependent transporter
F6X01_RS03070	methionine/alanine import family NSS transporter small subunit
F6X01_RS03075	uracil-DNA glycosylase
F6X01_RS03080	AI-2E family transporter
F6X01_RS03090	transcription elongation factor GreA
F6X01_RS03095	DUF4307 domain-containing protein
F6X01_RS03100	hypothetical protein
F6X01_RS03105	thioredoxin domain-containing protein
F6X01_RS03110	polyprenyl diphosphate synthase
F6X01_RS03115	hemolysin III family protein
F6X01_RS03120	PhoH family protein
F6X01_RS03125	DUF4245 domain-containing protein
F6X01_RS03130	exodeoxyribonuclease VII small subunit
F6X01_RS03135	exodeoxyribonuclease VII large subunit
F6X01_RS03140	beta-propeller fold lactonase family protein
F6X01_RS03145	4-hydroxy-3-methylbut-2-enyl diphosphate reductase
F6X01_RS03150	DNA recombination protein RmuC
F6X01_RS03155	M18 family aminopeptidase
F6X01_RS03160	redox-regulated ATPase YchF
F6X01_RS03165	HTH domain-containing protein
F6X01_RS03170	hypothetical protein
F6X01_RS03175	MFS transporter
F6X01_RS03180	MarR family transcriptional regulator
F6X01_RS03185	organic hydroperoxide resistance protein
F6X01_RS03190	type 1 glutamine amidotransferase domain-containing protein
F6X01_RS03200	basic amino acid/polyamine antiporter
F6X01_RS03205	arginine deiminase
